veh_num,time_str,longitude,latitude
v2,2013-01-14T21:05:47Z,-83.10062346,42.49077726
v1,2013-01-14T21:05:48Z,-83.09971357,42.49085970
v2,2013-01-14T21:05:48Z,-83.10048915,42.49077760
v1,2013-01-14T21:05:49Z,-83.09956243,42.49085956
v2,2013-01-14T21:05:49Z,-83.10035484,42.49077794
v1,2013-01-14T21:05:50Z,-83.09941129,42.49085942
v2,2013-01-14T21:05:50Z,-83.10022054,42.49077829
v1,2013-01-14T21:05:51Z,-83.09926014,42.49085928
v2,2013-01-14T21:05:51Z,-83.10008623,42.49077863
v1,2013-01-14T21:05:52Z,-83.09910900,42.49085915
v2,2013-01-14T21:05:52Z,-83.09995192,42.49077898
v1,2013-01-14T21:05:53Z,-83.09895786,42.49085901
v2,2013-01-14T21:05:53Z,-83.09981762,42.49077932
v1,2013-01-14T21:05:54Z,-83.09880671,42.49085887
v2,2013-01-14T21:05:54Z,-83.09968331,42.49077966
v1,2013-01-14T21:05:55Z,-83.09865557,42.49085873
v2,2013-01-14T21:05:55Z,-83.09954900,42.49078001
v1,2013-01-14T21:05:56Z,-83.09850443,42.49085859
v2,2013-01-14T21:05:56Z,-83.09941470,42.49078035
v1,2013-01-14T21:05:57Z,-83.09835328,42.49085846
v2,2013-01-14T21:05:57Z,-83.09928039,42.49078069
v1,2013-01-14T21:05:58Z,-83.09820214,42.49085832
v2,2013-01-14T21:05:58Z,-83.09914608,42.49078104
v1,2013-01-14T21:05:59Z,-83.09805100,42.49085818
v2,2013-01-14T21:05:59Z,-83.09901178,42.49078138























































