veh_num,time_str,longitude,latitude
v2,2013-01-14T21:05:23Z,-83.30431656,42.49924728
v1,2013-01-14T21:05:24Z,-83.30390464,42.50072617
v2,2013-01-14T21:05:24Z,-83.30444050,42.49930137
v1,2013-01-14T21:05:25Z,-83.30405298,42.50072207
v2,2013-01-14T21:05:25Z,-83.30456443,42.49935546
v1,2013-01-14T21:05:26Z,-83.30420133,42.50071798
v2,2013-01-14T21:05:26Z,-83.30468837,42.49940955
v1,2013-01-14T21:05:27Z,-83.30434967,42.50071389
v2,2013-01-14T21:05:27Z,-83.30481230,42.49946365
v1,2013-01-14T21:05:28Z,-83.30449802,42.50070980
v2,2013-01-14T21:05:28Z,-83.30493624,42.49951774
v1,2013-01-14T21:05:29Z,-83.30464636,42.50070571
v2,2013-01-14T21:05:29Z,-83.30506018,42.49957183
v1,2013-01-14T21:05:30Z,-83.30479471,42.50070161
v2,2013-01-14T21:05:30Z,-83.30518411,42.49962593
v1,2013-01-14T21:05:31Z,-83.30494305,42.50069752
v2,2013-01-14T21:05:31Z,-83.30530805,42.49968002
v1,2013-01-14T21:05:32Z,-83.30509140,42.50069343
v2,2013-01-14T21:05:32Z,-83.30543198,42.49973411
v1,2013-01-14T21:05:33Z,-83.30523974,42.50068934
v2,2013-01-14T21:05:33Z,-83.30555592,42.49978821
v1,2013-01-14T21:05:34Z,-83.30538809,42.50068525
v2,2013-01-14T21:05:34Z,-83.30567985,42.49984230
v1,2013-01-14T21:05:35Z,-83.30553643,42.50068116
v2,2013-01-14T21:05:35Z,-83.30580379,42.49989639
v1,2013-01-14T21:05:36Z,-83.30568478,42.50067706
v2,2013-01-14T21:05:36Z,-83.30592772,42.49995048
v1,2013-01-14T21:05:37Z,-83.30583312,42.50067297
v2,2013-01-14T21:05:37Z,-83.30605166,42.50000458
v1,2013-01-14T21:05:38Z,-83.30598147,42.50066888
v2,2013-01-14T21:05:38Z,-83.30617559,42.50005867
v1,2013-01-14T21:05:39Z,-83.30612982,42.50066479
v2,2013-01-14T21:05:39Z,-83.30629953,42.50011276
v1,2013-01-14T21:05:40Z,-83.30627816,42.50066070
v2,2013-01-14T21:05:40Z,-83.30642346,42.50016686
v1,2013-01-14T21:05:41Z,-83.30642651,42.50065661
v2,2013-01-14T21:05:41Z,-83.30654740,42.50022095
v1,2013-01-14T21:05:42Z,-83.30657485,42.50065251
v2,2013-01-14T21:05:42Z,-83.30667134,42.50027504
v1,2013-01-14T21:05:43Z,-83.30672320,42.50064842
v2,2013-01-14T21:05:43Z,-83.30679527,42.50032914
v1,2013-01-14T21:05:44Z,-83.30687154,42.50064433
v2,2013-01-14T21:05:44Z,-83.30691921,42.50038323
v1,2013-01-14T21:05:45Z,-83.30701989,42.50064024
v2,2013-01-14T21:05:45Z,-83.30704314,42.50043732
v1,2013-01-14T21:05:46Z,-83.30716823,42.50063615
v2,2013-01-14T21:05:46Z,-83.30716708,42.50049141
v1,2013-01-14T21:05:47Z,-83.30731658,42.50063205
v2,2013-01-14T21:05:47Z,-83.30729101,42.50054551
v1,2013-01-14T21:05:48Z,-83.30746492,42.50062796
v2,2013-01-14T21:05:48Z,-83.30741495,42.50059960
v1,2013-01-14T21:05:49Z,-83.30761327,42.50062387
v2,2013-01-14T21:05:49Z,-83.30753888,42.50065369
v1,2013-01-14T21:05:50Z,-83.30776161,42.50061978
v2,2013-01-14T21:05:50Z,-83.30766282,42.50070779
v1,2013-01-14T21:05:51Z,-83.30790996,42.50061569
v2,2013-01-14T21:05:51Z,-83.30778675,42.50076188
v1,2013-01-14T21:05:52Z,-83.30805830,42.50061160
v2,2013-01-14T21:05:52Z,-83.30791069,42.50081597
v1,2013-01-14T21:05:53Z,-83.30820665,42.50060750
v2,2013-01-14T21:05:53Z,-83.30803462,42.50087006
v1,2013-01-14T21:05:54Z,-83.30835499,42.50060341
v2,2013-01-14T21:05:54Z,-83.30815856,42.50092416
v1,2013-01-14T21:05:55Z,-83.30850334,42.50059932
v2,2013-01-14T21:05:55Z,-83.30828250,42.50097825
v1,2013-01-14T21:05:56Z,-83.30865168,42.50059523
v2,2013-01-14T21:05:56Z,-83.30840643,42.50103234
v1,2013-01-14T21:05:57Z,-83.30880003,42.50059114
v2,2013-01-14T21:05:57Z,-83.30853037,42.50108644
v1,2013-01-14T21:05:58Z,-83.30894838,42.50058704
v2,2013-01-14T21:05:58Z,-83.30865430,42.50114053
v1,2013-01-14T21:05:59Z,-83.30909672,42.50058295
v2,2013-01-14T21:05:59Z,-83.30877824,42.50119462





















































